Customer_ID,Account_Balance,Age,Gender,Marital_Status,Number_of_Dependents,Account_Type,Loan_Amount,Loan_Term_Months,Credit_Score,Annual_Income,Employment_Status,Education_Level,Home_Ownership,Monthly_Expenses,Transaction_Count,Last_Transaction_Date,Branch_Code,Account_Open_Date,Is_Active,Interest_Rate,Overdraft_Limit,Credit_Limit
951198,-4978.370491934709,56,Male,Widowed,0,Fixed Deposit,30034.565653855963,63,329.58008029755786,191031.53024424592,Retired,High School,Mortgage,3744.4653544863822,24,2020-01-01,606,2000-01-01,True,10.763715836698063,4743.171141577575,20520.965020816435
165711,-5976.029073835516,69,Male,Widowed,0,Fixed Deposit,30437.68721127621,254,312.1472149156489,166788.14580895795,Self-Employed,Bachelor,Rent,3161.9146921738175,50,2020-01-02,425,2000-01-02,False,1.4794869849821037,1820.8949529894,49403.23255898088
608469,-5366.190159465933,46,Male,Single,3,Current,24266.248336203356,274,496.87865699302057,136598.30830865755,Retired,Bachelor,Own,918.6402486266181,52,2020-01-03,943,2000-01-03,True,1.2657272113706513,3536.172694324167,43584.35734675559
889649,-7929.750506456056,32,Male,Married,1,Savings,40875.44427032437,185,483.513489848531,33134.76311380221,Unemployed,High School,Mortgage,2582.579140879226,71,2020-01-04,290,2000-01-04,False,7.321933995218306,1873.1766995542596,5039.083570386614
573858,-545.3422731045711,60,Female,Widowed,4,Current,3604.7474850157105,111,513.2323351614536,100864.46437913373,Employed,Associate,Own,9065.332462155662,38,2020-01-05,313,2000-01-05,True,10.191561785698646,1915.5759148352668,47419.09961780229
736288,-9044.712150364196,25,Female,Divorced,3,Fixed Deposit,40866.644396216725,72,376.1025104885045,106160.43542088266,Retired,High School,Rent,8507.152699287766,44,2020-01-06,146,2000-01-06,True,2.9940823554227576,4301.191250218714,3083.2049093251167
939941,-5285.108991075427,78,Female,Widowed,0,Current,24990.334901567327,199,705.9925487952639,54184.75808942222,Unemployed,Master,Rent,2092.1744935901847,89,2020-01-07,829,2000-01-07,True,11.69435434202153,4041.5987905512384,9913.800393216252
555186,-1788.8287160257587,38,Female,Divorced,2,Current,7121.154406311607,18,771.3304281269315,25193.42492826737,Self-Employed,Associate,Mortgage,3978.5486198547583,56,2020-01-08,188,2000-01-08,True,2.8023107537676015,1823.4834379580695,29645.18150148704
384501,-8913.880998096665,56,Female,Single,3,Current,44342.24472025364,200,816.2930494557193,157577.4897896216,Unemployed,Associate,Rent,3452.629025083627,66,2020-01-09,886,2000-01-09,True,8.471909310203447,866.2528204996721,4956.121741600666
928786,-6481.8002734819665,75,Male,Married,3,Savings,32636.824587277693,94,570.7992669357942,33186.65990363505,Self-Employed,High School,Rent,1903.5376765144863,45,2020-01-10,326,2000-01-10,True,5.316188691879127,2109.1286281603934,8924.660092479076
